# ImageNet动物类 - ID类划分
# 总计: 236 个类别
# 格式: class_id  class_name

n01440764	tench
n02484975	guenon /
n02486261	patas monkey
n02487347	macaque
n02488702	black-and-white colobus
n02489166	proboscis monkey
n02492035	white-headed capuchin
n02497673	ring-tailed lemur
n02509815	red panda /
n02510455	giant panda
n02526121	eel
n02536864	silver salmon
n02606052	rock beauty fish
n02640242	sturgeon
n02643566	lionfish /
n02655020	pufferfish

